number,"sys_id","priority","assigned_to.sys_id","dv_priority","incident_state","sys_created_on","sys_updated_on","category","assignment_group","work_end","problem_state","short_description"
INC008967568,"1594821237dc6b4092abf25b34990e5e","3 - Medium","3f70890a0f5017007b6183dce1050e33",,"Waiting for...","04 Sep 2018 16:17:27","04 Sep 2018 16:21:37","Event","Enterprise Backup","30 Sep 2018 16:21:21",,"vcenter, Not Applicable, 9040059, Not Applicable"
INC008974134,"15b4b087371ce780a8b9f25b34990e97","3 - Medium","f370890a0f5017007b6183dce1050e35",,"Waiting for...","06 Sep 2018 18:23:54","07 Sep 2018 10:10:00","Event","Enterprise Backup","14 Sep 2018 10:09:34",,"vcenter-dev, [19:1449], 9076304, Snap backup job completed with errors. Please check Events and logs for further details."
INC008944848,"42bd065b37c8ab44d2ee44e654990e45","4 - Standard","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","26 Aug 2018 09:15:36","06 Sep 2018 09:31:17","Event","Enterprise Backup","13 Sep 2018 09:31:13",,"SQL-16-D-SQLOVER, [19:1253] [30:385], 8867228, Failed to choose agent for backup for backup type [Transaction Log], reason [Failed during send/receive of AG inf"
INC008954754,"477703d83718eb4492abf25b34990eb5","4 - Standard","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","29 Aug 2018 16:01:54","05 Sep 2018 20:44:33","Event","Enterprise Backup","12 Sep 2018 20:41:22",,"SQL-16-D-SQLOVER, [19:1253] [30:385], 8910442, Failed to choose agent for backup for backup type [Transaction Log], reason [Failed to get AG information. Error "
INC008974946,"7cf5b70b37542bc0f534f25b34990edc","3 - Medium","be6194dc0a0a8c0d004b3b8a11183ef9",,"In Progress","07 Sep 2018 08:28:12","07 Sep 2018 09:27:44","Event","Enterprise Backup","",,"vcenter, Not Applicable, 9075632, Not Applicable"
INC008974210,"95a0058737dcaf04d2ee44e654990e09","3 - Medium","f370890a0f5017007b6183dce1050e35",,"Waiting for...","06 Sep 2018 19:16:04","07 Sep 2018 10:09:46","Event","Enterprise Backup","14 Sep 2018 10:09:34",,"vcenter-dev, [19:1253] [32:392], 9076356, HORCM command failed. : [Failed to find host group for client.] MsgNewLine_ Number of restarts has exceeded the maximu"
INC008954572,"998bbe5c375ce3c4d2ee44e654990ef8","4 - Standard","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","29 Aug 2018 15:09:37","06 Sep 2018 16:44:24","Event","Enterprise Backup","12 Sep 2018 15:19:44",,"SP16-X-SQLOVER, [19:1253] [30:385], 8926429, Failed to choose agent for backup for backup type [Transaction Log], reason [Failed to get AG information. Error re"
INC008975030,"b3bbfb4b37182bc0f534f25b34990e3e","3 - Medium","f370890a0f5017007b6183dce1050e35",,"Waiting for...","07 Sep 2018 08:53:32","07 Sep 2018 10:10:03","Event","Enterprise Backup","14 Sep 2018 10:09:34",,"vcenter-dev, [19:1253] [32:392], 9087459, HORCM command failed. : [Failed to find host group for client.] MsgNewLine_ Number of restarts has exceeded the maximu"
INC008971337,"dfd3807237d423c0524144e654990e40","4 - Standard","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","05 Sep 2018 20:12:02","05 Sep 2018 20:45:03","Event","Enterprise Backup","12 Sep 2018 20:41:22",,"SQL-16-D-SQLOVER, [19:1253] [30:385], 9058619, Failed to choose agent for backup for backup type [Transaction Log], reason [There is no row at position 0. There"
INC008973762,"e0a6180f3718670426f444e654990e53","4 - Standard","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","06 Sep 2018 16:12:30","06 Sep 2018 16:44:23","Event","Enterprise Backup","12 Sep 2018 15:19:44",,"SP16-X-SQLOVER, [19:1253] [30:385], 9056267, Failed to choose agent for backup for backup type [Transaction Log], reason [Failed to get AG information. Error re"
INC008973754,"fd66544737942f809c9ef25b34990ecf","3 - Medium","3f70890a0f5017007b6183dce1050e33",,"Waiting for...","06 Sep 2018 16:11:30","06 Sep 2018 16:37:19","Event","Enterprise Backup","30 Sep 2018 16:37:09",,"vcenter, Not Applicable, 9072035, Not Applicable"
INC008962618,"0917a835375c2f4026f444e654990e04","3 - Medium","f370890a0f5017007b6183dce1050e35",,"Waiting for...","02 Sep 2018 20:15:02","07 Sep 2018 10:10:28","Incident","Enterprise Backup","14 Sep 2018 10:03:03",,"Backup finishing with exceptions sharepoint prod : coomvault "
INC008970609,"39f84bee379463802c0cf25b34990e98","2 - High","f370890a0f5017007b6183dce1050e35",,"Waiting for...","05 Sep 2018 16:03:26","07 Sep 2018 10:30:12","Incident","Enterprise Backup","10 Sep 2018 10:08:38",,"Restore database TC2_CQD.swissre.com"
INC008878228,"521e083a37e7174c2c0cf25b34990ec8","3 - Medium","3f70890a0f5017007b6183dce1050e33",,"Waiting for...","30 Jul 2018 14:12:28","04 Sep 2018 13:22:03","Incident","Enterprise Backup","11 Sep 2018 13:21:33",,"Not able to discover new database on server in CommVault"
INC008973379,"6d354c0b3754a3c0f534f25b34990e4b","4 - Standard","3f70890a0f5017007b6183dce1050e33",,"Waiting for...","06 Sep 2018 14:56:24","06 Sep 2018 15:01:42","Incident","Enterprise Backup","30 Sep 2018 14:59:41",,"Assistance in DB retreival"
INC008889737,"85ea00c837f397cc2c0cf25b34990e3a","3 - Medium","3f70890a0f5017007b6183dce1050e33",,"Waiting for...","03 Aug 2018 11:10:01","04 Sep 2018 10:48:58","Incident","Enterprise Backup","30 Sep 2018 10:46:39",,"Full backup partially complete for sharepoint database on server chrv6310"
INC008950972,"dcdebccc37546b84d2ee44e654990e70","4 - Standard","f370890a0f5017007b6183dce1050e35",,"Waiting for...","28 Aug 2018 11:30:32","06 Sep 2018 12:05:32","Incident","Enterprise Backup","11 Sep 2018 11:56:14",,"Issue with transaction log backup on cdbe01"
INC008799619,"fd8b78ff373ed7c826f444e654990ed0","4 - Standard","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","26 Jun 2018 13:27:21","30 Aug 2018 11:09:57","Incident","Enterprise Backup","07 Sep 2018 12:09:06",,"Unable to restore files for DMZ vms"
INC008693367,"0f1290820f4e5bc448a783dce1050e15","3 - Medium","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","14 May 2018 17:03:12","03 Sep 2018 14:41:56","Inquiry","Enterprise Backup","19 Sep 2018 14:41:51",,"Retrieving files from tape"
INC008956064,"124baaa837182f889c9ef25b34990e24","3 - Medium","657104b181dfe9c02b90658279f2a0b3",,"Waiting for...","30 Aug 2018 08:40:48","05 Sep 2018 14:30:33","Inquiry","Enterprise Backup","07 Sep 2018 14:00:00",,"Please retrieve DBs"
INC008956608,"19b15fa437d8630048ca44e654990e46","4 - Standard","3f70890a0f5017007b6183dce1050e33",,"Waiting for...","30 Aug 2018 11:36:48","06 Sep 2018 13:06:57","Inquiry","Enterprise Backup","30 Sep 2018 13:06:01",,"RMS EDM database retrieval"
INC008954127,"416cd294379caf8826f444e654990e00","3 - Medium","be6194dc0a0a8c0d004b3b8a11183ef9",,"Waiting for...","29 Aug 2018 13:02:52","05 Sep 2018 09:23:53","Inquiry","Enterprise Backup","12 Sep 2018 09:23:49",,"SAP Completeness Report - Monthly SAP Completeness Report - PDF"
