duration,"task","sla","stage","start_time","percentage","time_left","planned_end_time","original_breach_time"
782783,"INC008693367","Escalation Incident Not Resolved KPI","In progress","22 Aug 2018 08:38:04","10.07","7151872","20 Nov 2018 07:38:04",""
4342627,"INC008693367","Customer Resolution time Inquiry P2","Breached","14 May 2018 17:03:12","174.08","0","16 Jul 2018 03:47:20",""
597312,"INC008799619","Escalation Incident Not Resolved KPI","In progress","24 Aug 2018 12:09:15","7.68","7337343","22 Nov 2018 11:09:15",""
824937,"INC008840448","Customer Resolution time Inquiry P3","Breached","13 Jul 2018 08:12:20","105.48","0","28 Aug 2018 20:55:30",""
172847,"INC008840448","Escalation Incident Not Resolved KPI","In progress","29 Aug 2018 10:03:40","2.22","7761808","27 Nov 2018 09:03:40",""
1208022,"INC008909756","Escalation Incident Not Resolved KPI","In progress","17 Aug 2018 10:30:45","15.54","6726633","15 Nov 2018 09:30:45",""
845438,"INC008920409","Customer Resolution time Inquiry P3","Breached","16 Aug 2018 15:14:01","123.21","0","28 Aug 2018 15:13:49",""
775796,"INC008920409","Escalation Incident Not Resolved KPI","In progress","22 Aug 2018 10:34:31","9.98","7158859","20 Nov 2018 09:34:31",""
844091,"INC008934508","Escalation Incident Not Resolved KPI","In progress","21 Aug 2018 15:36:16","10.86","7090564","19 Nov 2018 14:36:16",""
844091,"INC008934508","Customer Resolution time Inquiry P3","Breached","21 Aug 2018 15:36:16","139.57","0","28 Aug 2018 15:36:16",""
352838,"INC008946521","Customer Reaction time Incident-P3/P4","Breached","27 Aug 2018 08:03:49","408.38","0","28 Aug 2018 08:03:49",""
162095,"INC008954127","Escalation Incident Not Resolved KPI","In progress","29 Aug 2018 13:02:52","2.08","7772560","27 Nov 2018 12:02:52",""
145638,"INC008955030","Escalation Incident Not Resolved KPI","In progress","29 Aug 2018 17:37:09","1.87","0","27 Nov 2018 16:37:09",""
145638,"INC008955030","Customer Resolution time Inquiry P3","In progress","29 Aug 2018 17:37:09","24.08","531376","05 Sep 2018 17:37:09",""
139925,"INC008955209","Customer Resolution time Inquiry P3","In progress","29 Aug 2018 19:12:22","23.14","537089","05 Sep 2018 19:12:22",""
139925,"INC008955209","Escalation Incident Not Resolved KPI","In progress","29 Aug 2018 19:12:22","1.80","0","27 Nov 2018 18:12:22",""
91419,"INC008956064","Escalation Incident Not Resolved KPI","In progress","30 Aug 2018 08:40:48","1.18","0","28 Nov 2018 07:40:48",""
76421,"INC008956608","Escalation Incident Not Resolved KPI","In progress","30 Aug 2018 12:50:46","0.98","0","28 Nov 2018 11:50:46",""
80859,"INC008956608","Customer Resolution time Inquiry P4","In progress","30 Aug 2018 11:36:48","13.37","596155","06 Sep 2018 11:36:48",""
80859,"INC008956608","Customer Reaction time Inquiry/feedback","In progress","30 Aug 2018 11:36:48","93.59","7605","31 Aug 2018 11:36:48",""
9194,"INC008958668","Customer Reaction time Incident-P3/P4","In progress","31 Aug 2018 07:31:13","3.55","254441","03 Sep 2018 07:31:13",""
9194,"INC008958668","Customer Resolution time Incident P4","In progress","31 Aug 2018 07:31:13","1.52","600038","07 Sep 2018 07:31:13",""
2980,"INC008958668","HDS-SLA-EnterpriseBackup-RES-P4-2/7 ","In progress","31 Aug 2018 08:50:30","3.83","115767","01 Sep 2018 17:00:00",""
4437,"INC008958668","Escalation Incident Not Resolved KPI","In progress","31 Aug 2018 08:50:30","0.06","0","29 Nov 2018 07:50:30",""
2980,"INC008958668","HDS-SLA-EnterpriseBackup-RES-P4-5/7","In progress","31 Aug 2018 08:50:30","1.20","367198","04 Sep 2018 15:14:47",""
3712507,"PRB000599533","Escalation Problem Not Updated KPI","In progress","19 Jul 2018 10:49:20","47.74","4222148","17 Oct 2018 10:49:20",""
